"Name","Applied By","Count","Uptime","Source",""
"Well Fed","","1","465548$100.00%  Well FedEnjoying the benefits of a full belly.","Consumable",""
"Seraphic Veil","Consolation    ConsolationRestores the HP of all nearby party members. Cure Potency: 250 Additional Effect: Erects a magicked barrier which nullifies damage equaling the amount of HP restored Duration: 30s  ※This action cannot be assigned to a hotbar.","7","93638$20.11%  Seraphic VeilA holy barrier is nullifying damage.","Pet",""
"Sacred Soil","","27","92483$19.87%  Sacred SoilDamage taken is reduced.","Active Ability",""
"Whispering Dawn","Whispering Dawn    Whispering DawnGradually restores the HP of all nearby party members. Cure Potency: 80 Duration: 21s  ※This action cannot be assigned to a hotbar.","4","83922$18.03%  Whispering DawnRegenerating HP over time.","Pet",""
"Lucid Dreaming","Lucid Dreaming    Lucid DreamingGradually restores own MP. Potency: 55 Duration: 21s","4","83905$18.02%  Lucid DreamingRestoring MP over time.","Active Ability",""
"Fey Illumination","Fey Illumination    Fey IlluminationIncreases healing magic potency of all nearby party members by 10%, while reducing magic damage taken by all nearby party members by 5%. Duration: 20s Effect cannot be stacked with Seraphic Illumination.  ※This action cannot be assigned to a hotbar.","4","76956$16.53%  Fey IlluminationMagic defense and healing magic potency are increased.","Pet",""
"Wheel of Fortune","","5","74910$16.09%  Wheel of FortuneRegenerating HP over time.","Active Ability",""
"Medicated","Grade 4 Gemdraught of Intelligence [HQ]","2","59971$12.88%  MedicatedPerformance is being enhanced by a medicinal item.","Consumable",""
"Opposition","Celestial Opposition    Celestial OppositionRestores own HP and the HP of all nearby party members. Cure Potency: 200 Additional Effect: Regen Cure Potency: 100 Duration: 15s","4","59915$12.87%  OppositionRegenerating HP over time.","Active Ability",""
"Troubadour","Troubadour    TroubadourReduces damage taken by self and nearby party members by 15 %. Duration: 15s Effect cannot be stacked with machinist's Tactician or dancer's Shield Samba.","3","44961$9.66%  TroubadourDamage taken is reduced.","Active Ability",""
"Nature's Minne","Nature's Minne    Nature's MinneIncreases HP recovery via healing actions by 15% for self and nearby party members. Duration: 15s","3","38683$8.31%  Nature's MinneHP recovery via healing actions is increased.","Active Ability",""
"Knight's Benediction","Intervention    InterventionReduces target party member's damage taken by 10%. Duration:  8 s Additional Effect: Increases damage reduction by an additional 10% if Rampart or Guardian are active Additional Effect: Grants Knight's Resolve to target Knight's Resolve Effect: Reduces damage taken by 10% Duration: 4s Additional Effect: Grants Knight's Benediction to target Knight's Benediction Effect: Gradually restores HP Cure Potency: 250 Duration: 12s  Oath Gauge Cost: 50","3","35937$7.72%  Knight's BenedictionRegenerating HP over time.","Active Ability",""
"Macrocosmos","Macrocosmos    MacrocosmosDeals unaspected damage to all nearby enemies with a potency of 270 for the first enemy, and 40% less for all remaining enemies. Additional Effect: Grants Macrocosmos to self and all nearby party members Duration: 15s For the effect's duration, 50% of damage taken is compiled. Restores HP equal to a cure of 200 potency plus compiled damage when the effect expires or upon execution of Microcosmos. Amount restored cannot exceed the target's maximum HP. Recast timer cannot be affected by status effects or gear attributes.","2","32021$6.88%  MacrocosmosRestores HP when effect duration expires or the astrologian who granted this effect executes Microcosmos. Healing potency is based on damage taken and compiled over the duration of the effect.","Active Ability",""
"Helios Conjunction","Helios Conjunction    Helios ConjunctionRestores own HP and the HP of all nearby party members. Cure Potency: 250 Additional Effect: Regen Cure Potency: 175 Duration: 15s","5","30864$6.63%  Helios ConjunctionRegenerating HP over time.","Active Ability",""
"Horoscope","Horoscope    HoroscopeReads your fortune and those of nearby party members, granting them Horoscope. Duration: 10s Effect upgraded to Horoscope Helios upon receiving the effects of Helios or  Helios Conjunction . Duration: 30s Restores the HP of those under either effect when the cards are read a second time or the effect expires. Horoscope Cure Potency: 200 Horoscope Helios Cure Potency: 400","4","26175$5.62%  HoroscopePrimed to receive the healing effects of Horoscope.","Active Ability",""
"Seraphism","","7","22992$4.94%  SeraphismRegenerating HP over time.","Active Ability",""
"Angel's Whisper","Angel's Whisper    Angel's WhisperGradually restores the HP of all nearby party members. Cure Potency: 80 Duration: 21s  ※This action cannot be assigned to a hotbar.","1","20958$4.50%  Angel's WhisperRegenerating HP over time.","Pet",""
"Neutral Sect","Helios Conjunction    Helios ConjunctionRestores own HP and the HP of all nearby party members. Cure Potency: 250 Additional Effect: Regen Cure Potency: 175 Duration: 15s","4","6487$1.39%  Neutral SectA magicked barrier is nullifying damage.","Active Ability",""
"Horoscope Helios","Helios Conjunction    Helios ConjunctionRestores own HP and the HP of all nearby party members. Cure Potency: 250 Additional Effect: Regen Cure Potency: 175 Duration: 15s","1","5649$1.21%  Horoscope HeliosPrimed to receive the healing effects of Horoscope.","Active Ability",""